fips,total_pop,white,Gini,gini,singpar,college2000,mhi,rent_burden,opioids,unemp
36029,919355,715409,0.4661,45.8,9.654394794796909,27.732081046923522,55581,NA,73.2,4.4
36031,37459,34788,0.4362,40.9,8.300090078496975,23.72170997485331,52741,NA,45.4,4.8
36033,50477,41726,0.4529,42.1,10.76503591841015,15.704513580812273,50187,NA,63,5.1
36035,53646,50640,0.4234,43.2,12.76917754907896,15.13736335411829,46984,NA,73.5,5.1
36037,57808,53142,0.4117,38.8,9.727864412702573,16.921405653942347,55522,NA,58.9,4.2
36039,47424,42486,0.4526,44.9,10.269224568757053,20.033579180907836,54635,NA,68,4.5
36041,4515,4394,0.3979,43.4,6.156966103039491,20.916152339432468,51520,NA,NA,6.8
36043,62057,59365,0.4152,39.5,9.307393612806086,17.524481366315495,46733,NA,48.6,4.9
36045,112842,97448,0.4207,42.7,12.380492737635596,18.381409173816117,47436,NA,56,5.6
36047,2589974,1132426,0.5264,50,12.928698870019163,27.39076231665461,56548,NA,24.7,4.2
36049,26572,25725,0.4002,40,7.13125112836252,14.476362813843021,51857,NA,36.3,5.5
36051,63591,58916,0.4238,39.4,7.648825295884119,22.51220660767839,56407,NA,48.9,4.3
36053,71205,67360,0.4307,41.5,9.962644895444217,23.95347784767163,56477,NA,60.5,4.8
36055,743341,564617,0.4639,44.6,10.704557580522872,33.23590226353878,57660,NA,52.3,4.2
36057,49302,42970,0.4472,40.6,11.295546558704453,14.124547386060987,46601,NA,84.6,5.1
36059,1356509,922873,0.4578,45.1,5.7162015689012184,39.97290157261585,107465,NA,44.1,3.5
36061,1631993,922033,0.5956,60.1,7.06082009078275,56.21717644940463,84133,NA,42,3.7
36063,210820,183860,0.4425,42.4,10.062006441334571,19.002989249670907,54317,NA,81.2,5.2
36065,229959,196219,0.4537,43.7,10.62201681945602,20.43137055708644,53234,NA,64.2,4.4
36067,462872,368328,0.4654,44.8,10.493864607748518,30.4752753344667,57641,NA,57.7,4
36069,109511,101371,0.4511,41.8,10.09113463853202,28.831146433652865,65271,NA,55.2,3.9
36071,380085,281683,0.4409,40,9.107966729482097,26.057234999721246,77606,NA,61.8,3.9
36073,40904,36345,0.4208,39.8,9.841920761955155,13.372458604066233,48799,NA,56.4,4.9
36075,118339,113114,0.4324,40.7,10.096788861702358,15.061512328203017,52732,NA,57.9,5.5
36077,59972,56036,0.4465,41.1,8.36483743881571,25.854679306171843,51561,NA,56.9,4.3
36079,98787,85846,0.4229,38.7,5.5351654581804075,36.684997242962105,98765,NA,41.8,3.7
36081,2287388,875191,0.4518,42.5,9.006252494346148,28.04110968103679,64046,NA,26,3.6
36083,159185,137002,0.4294,40.3,9.323166806951528,25.576503583670924,63457,NA,60,3.9
36085,474893,352034,0.4551,42.9,9.0016800245681,27.09933250864976,78466,32.2,48.9,4.1
36087,324422,229240,0.4648,44,5.691291522380403,39.03030562040247,87873,NA,35.1,3.7
36089,108913,101115,0.4421,41,10.935477446977995,18.319975913633172,49607,NA,61.8,5.6
36091,228502,211792,0.4188,40,7.384197483797179,32.73725864774511,82732,NA,53.5,3.5
36093,154859,118130,0.4348,42.9,10.376027797846355,29.56389754171544,61841,NA,57,4
36095,31222,29791,0.424,39.4,9.345112660074566,17.58803307627985,51007,NA,50.6,4.8
36097,17920,17289,0.4178,39.8,10.182488858713441,17.814302057889847,48782,NA,60.9,5.1
36099,34390,31355,0.4376,39.4,11.600067442252572,20.076142131979694,54563,NA,44.1,3.8
36101,96422,91286,0.4533,42.7,9.617458279845957,19.450390424794236,50807,NA,71.2,4.9
36103,1483832,1196719,0.4436,41.6,7.047252859285891,31.11805472515246,94108,NA,53.7,3.8
36105,75116,59949,0.4654,42.8,10.419029940531436,19.86219408631205,52504,NA,71,4.1
36107,48686,46870,0.4177,39.1,8.901371388087647,20.258369298961856,57190,NA,42.5,4.4
36109,102642,82359,0.496,46.9,5.835607641676032,52.61046315527862,56539,NA,53.8,3.6
36111,178665,151001,0.4592,43,7.555440205323413,28.623375366852645,62531,NA,68.5,3.9
36113,64276,61452,0.4358,42.1,10.037788458010786,25.268817204301076,58859,NA,86.8,4.6
36115,61616,57686,0.4065,38.1,8.673961346581143,17.81573283343748,53609,NA,68.5,4.2
36117,90519,84123,0.4289,39.6,10.096486135301761,21.277458710535708,52709,NA,59.2,4.1
36119,968890,622855,0.5405,53.5,7.762440151497106,44.69306191965572,90483,NA,37,3.9
36121,40305,36882,0.3961,36.9,8.414795244385733,14.63883455857557,53986,NA,54.2,4.6
36123,25011,24122,0.448,43.3,9.701010970101096,20.96978928662097,49198,NA,37.8,3.8
37001,163324,113953,0.4533,42.3,12.173191068400227,19.7962385768505,47914,31.5,87.6,3.8
37003,37213,32622,0.4661,43.5,7.676953784738216,12.889829818418695,48577,30.3,29,3.2
37005,11008,10501,0.4494,47.6,5.854617403947665,13.550770918972788,38994,NA,101.2,4.6
37007,24902,11892,0.4428,43.9,10.165926618368777,7.021288870939825,41266,31,86.9,4.5
37009,26863,25628,0.4441,44,7.240915208613728,13.655776211830023,40611,35.4,106,3.7
37011,17506,16109,0.4794,44.6,6.64177150488405,16.468213192699153,40682,32.7,89.4,3.7
37013,47168,33969,0.4826,44.6,8.218743389041675,17.74994465003005,43497,NA,143.4,4.7
37015,19380,6830,0.5274,48.4,12.851321699714102,10.360280722573535,33022,NA,64.8,5
37017,33407,19260,0.5101,44.9,10.459563141000547,11.966570174619479,38059,35.2,118.3,5.4
37019,131815,110980,0.4478,44.6,7.93572019378471,20.121133593479275,56227,NA,116.8,5.4
37021,256886,228237,0.4697,46.1,7.757410794028835,30.92743176687872,50271,30.8,88.5,3
37023,89968,75887,0.4569,43.4,10.002053207403279,14.956510365574522,42179,29.3,154.9,3.7
37025,206615,145738,0.4346,41.8,9.361509888565404,22.37896477722431,62167,NA,101.4,3.7
37027,81884,72802,0.4345,42.4,7.985305491105955,12.097241329375136,44798,31.7,140.7,3.9
37029,10551,8718,0.3848,40.2,6.9245661118916,18.112753303327086,64086,37.1,NA,3.8
37031,69070,62094,0.4616,42.1,8.886607764783518,24.103603014856446,53192,28.6,114.1,4.4
37033,22684,14307,0.4342,38.6,8.061129258049464,11.559644132421473,44998,32.6,14.1,4.5
37035,157613,124641,0.4623,44.2,8.284436280762623,19.35860728341744,53348,28.6,133.5,3.6
37037,71338,57718,0.4833,47.6,7.609227076758967,32.43452021726011,63373,29.3,43.7,3.4
37039,27969,26095,0.4151,45.3,7.3600145203739,14.345549738219896,38283,30.1,111.3,4.5
37041,14097,8615,0.4389,42.3,11.462853294721892,18.481730548670157,43182,NA,108.6,4.5
37043,10946,10580,0.4813,44.7,5.918931364263651,17.07431337881942,43684,29.2,139.8,4.4
37045,97282,72575,0.4721,43.1,10.80202117937967,16.276224568399112,39911,33.2,139,4
37047,56068,34778,0.5036,49.3,11.110585116455217,10.885871232189164,37639,33.3,189.1,5.1
37049,102491,72130,0.4538,44.1,10.941279398898667,20.71820952939834,51390,NA,128.6,4.3
37051,332861,166394,0.4465,44,14.409830067139222,21.068357263536456,44065,30.5,96.6,5.3
